SKU (Anonymized);jan.22;feb.22;mar.22;apr.22;mai.22;jun.22;jul.22;aug.22;sep.22;okt.22;nov.22;des.22;jan.23;feb.23;mar.23;apr.23;mai.23;jun.23;jul.23;aug.23;sep.23;okt.23;nov.23;des.23;jan.24;feb.24;mar.24;apr.24;mai.24;jun.24;jul.24;aug.24;sep.24;okt.24;nov.24;des.24;jan.25;feb.25;mar.25;apr.25;mai.25;jun.25;jul.25;aug.25;sep.25;okt.25;nov.25;des.25;SKU
785656623;40;662;588;572;364;564;438;608;448;838;588;668;962;144;868;454;602;712;538;538;882;682;1180;638;518;862;986;638;886;698;742;792;577;922;912;718;1140;752;658;634;1080;294;992;896;972;1030;1052;472;706872189
834166556;621;;;;;377;;;;;;;;;;;;;;;;;;1581;;;;;;493;367;258;328;340;333;250;354;350;239;256;491;334;411;256;355;399;505;364;659013749
862477348;4;772;220;280;435;560;221;295;430;495;210;511;435;582;490;361;435;446;281;;223;560;215;;;;;;;;;;;351;70;15;2;20;;30;32;;;10;10;10;;;187584096
688881961;460;1390;1270;410;490;885;467;970;380;1080;430;1385;450;1165;794;1130;650;1020;549;493;765;720;1109;610;710;750;1027;747;691;707;791;1030;857;1119;923;513;1043;825;640;760;960;525;840;965;955;1270;765;660;921082111
96058228;360;;;;1944;8720;2152;3648;4176;3600;2160;6192;2448;2520;3888;3672;2088;3960;2808;2736;3816;2232;6696;1008;720;3024;4392;1728;3168;2808;2232;4176;2448;2736;4392;3024;3024;3960;504;1056;;;;9864;2232;2664;2232;2304;598271277
472635003;900;;12;;;;720;264;96;528;96;144;360;96;216;264;120;288;264;216;528;216;360;192;24;360;102;546;696;216;146;;;;;;;;1632;216;193;;;;;;;;140543802
446068290;6457;;;;3166;;5400;1674;2430;2970;3132;2268;2268;2160;3165;;;2916;;4625;;7600;3564;2268;1620;2193;;2602;;;;;;11340;540;1620;2106;4968;1620;;5346;;78;;;;;;563736577
342485536;1872;;608;208;;;2016;456;408;833;391;521;;1687;161;967;600;696;672;696;1080;672;882;630;168;1009;;1583;1001;;;;;;;3024;672;984;240;;844;;;;;;;;666758231
367529023;2664;;2008;355;;;3504;1560;528;2160;624;1008;210;1848;;3168;;;3390;384;2400;1536;1224;1224;600;2304;2035;876;;;;;2496;4872;1771;;;1008;3065;;;;;;;;;;300261601
446645877;200;;54;270;;594;810;27;;;;;;216;162;1134;108;108;1188;513;;;;;;;;;;;;;540;270;41;44;54;84;216;;138;382;1080;2106;;88;;;614772856
967677473;1730;;;2994;1200;;1488;768;1344;1440;480;1608;960;448;;;1745;2439;1080;1128;3024;552;2328;;96;2088;2808;1134;;;;;2568;2016;;;;;;1008;2016;;;;;;;;519533652
954391399;190;161;;756;216;;;;;;;108;;54;132;84;;402;54;;54;94;54;108;;216;216;442;1296;304;;;1026;;162;;540;;;;;;;;;;;;49631581
355066718;380;455;1387;315;1075;790;1210;445;485;140;245;1455;70;245;707;725;495;1455;625;1355;520;3275;1680;1085;940;455;420;;200;410;795;625;960;735;555;935;450;965;560;440;1455;840;580;805;525;940;930;490;210072503
234447450;;800;;;;;;760;400;80;1128;848;80;240;320;432;344;1856;;;1256;1128;1384;;;288;688;64;776;632;712;1176;600;632;488;528;1272;;;;;;;;;;;;119140225
342168782;8835;;4620;1425;312;10623;12210;6960;1245;5955;6270;8700;7035;3495;7410;3420;4890;;;6735;6840;;5370;1710;450;4410;8265;1710;4845;4965;8895;1590;9720;1126;;5504;8475;3585;;;;;;;;;;;350365401
16561859;864;6960;6768;3192;2760;4920;5040;2392;5672;2616;2208;7824;1800;5544;1032;14280;1008;1968;3528;4224;4200;2232;6984;1392;2496;3336;3336;4248;4608;3456;4944;4776;2760;3528;3826;4296;5040;2328;;;;;;;;;;;100168247
292379991;108;;;;108;320;108;108;54;108;54;108;108;108;54;108;54;108;54;162;108;54;108;108;54;162;162;54;108;108;108;;216;108;162;;216;54;108;108;108;162;;;;;;;278464613
584545813;;;;2938;2424;13442;1171;738;2578;3652;;1296;5384;1296;4752;288;6048;288;576;1632;6636;1152;1872;720;3744;5040;6480;1152;432;4032;3168;;6660;1296;2592;1296;720;2400;;;;;;;;;;;602886854
955076654;;;8784;6480;2592;7488;1728;1152;2880;6624;1152;6660;6108;5064;7920;1164;6768;2448;1008;3744;9792;5328;3077;2971;744;3888;4032;3456;3744;7200;3888;2592;10128;3744;5760;3744;1728;5328;;;;;;;;;;;658753108
